City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
575,Bubaque,GW,80.62,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
576,Luganville,VU,78.57,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
579,Coquimbo,CL,71.33,few clouds,-29.9533,-71.3436,Hostel Del Puerto
581,Kokoda,PG,73.87,overcast clouds,-8.8785,147.7407,Daito Guest House
582,Mecca,SA,78.19,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
584,Puerto Madryn,AR,85.01,clear sky,-42.7692,-65.0385,Hotel Tolosa
586,San Miguel,SV,87.46,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
588,Gawler,AU,75.83,broken clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
590,Rio Cuarto,AR,77.67,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
593,Langsa,ID,74.82,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
594,Port Hueneme,US,78.42,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
595,La Asuncion,VE,82.13,few clouds,11.0333,-63.8628,Colinas de Matasiete
605,Boca Do Acre,BR,83.35,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
607,Moron,AR,78.03,clear sky,-34.6534,-58.6198,Hotel Morón
616,Shrigonda,IN,76.41,clear sky,18.6167,74.6833,Hotel Dnyashwari
621,Conceicao Da Barra,BR,84.09,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
622,Tonantins,BR,73.53,heavy intensity rain,-2.8731,-67.8022,Hotel Rei Davi
625,Cobija,BO,80.78,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
626,Auki,SB,76.91,broken clouds,-8.7676,160.7034,Auki Motel
627,Cagliliog,PH,74.8,scattered clouds,13.9016,123.2913,Cagliliog Labog Beach
628,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
629,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
633,Wajir,KE,89.55,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
637,Sorong,ID,78.58,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
640,Chorozinho,BR,87.48,overcast clouds,-4.3003,-38.4978,Pousada Triângulo E Churrascaria
643,Mitsamiouli,KM,81.0,broken clouds,-11.3847,43.2844,Foyer ADM
644,Tha Maka,TH,86.81,broken clouds,13.9,99.7667,ชบาแก้ว รีสอร์ท
650,Nouadhibou,MR,73.38,overcast clouds,20.931,-17.0347,El Medina
653,Taltal,CL,72.39,clear sky,-25.4,-70.4833,Residencial Karime
657,Katobu,ID,74.41,overcast clouds,-4.9408,122.5276,La Ode Husein
659,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
663,Paulo Ramos,BR,86.38,broken clouds,-4.2167,-45.1833,Hotel milena
664,San Policarpo,PH,78.33,scattered clouds,12.1791,125.5072,Agapita M. Nicart
665,Fontem,CM,82.62,overcast clouds,5.4685,9.8818,Vista Palace Hotel
674,Lazaro Cardenas,MX,88.18,scattered clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
