City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Karasuk,RU,2022-02-12 15:14:01,53.7377,78.0403,4.44,88,8,12.3
172,Beisfjord,NO,2022-02-12 15:14:01,68.3751,17.5988,16.97,91,82,5.79
173,Atagay,RU,2022-02-12 15:14:02,55.1033,99.3875,-12.44,99,94,3.33
174,Rodrigues Alves,BR,2022-02-12 15:14:02,-7.738,-72.6509,76.96,90,100,2.86
175,Chokurdakh,RU,2022-02-12 15:14:02,70.6333,147.9167,-2.18,96,100,13.6
176,Sitka,US,2022-02-12 15:13:24,57.0531,-135.33,42.69,81,100,12.66
177,Monrovia,LR,2022-02-12 15:14:03,6.3005,-10.7969,92.97,69,89,15.23
178,Vila Velha,BR,2022-02-12 15:14:03,-20.3297,-40.2925,82.35,83,40,13.8
179,Luderitz,NA,2022-02-12 15:14:03,-26.6481,15.1594,73.47,68,52,4.52
180,Itacare,BR,2022-02-12 15:14:04,-14.2775,-38.9967,80.51,80,77,2.53
181,Pacifica,US,2022-02-12 15:13:46,37.6138,-122.4869,62.06,72,40,8.99
182,Jawa,JO,2022-02-12 15:14:04,31.8525,35.9393,56.98,38,0,5.75
183,Baracoa,CU,2022-02-12 15:14:04,20.3467,-74.4958,79.72,72,59,9.26
184,Totness,SR,2022-02-12 15:14:05,5.8833,-56.3167,78.58,84,80,8.75
185,Sao Filipe,CV,2022-02-12 15:15:05,14.8961,-24.4956,80.69,42,85,18.68
186,Olafsvik,IS,2022-02-12 15:15:06,64.8945,-23.7142,28.58,69,48,26.51
187,Bardiyah,LY,2022-02-12 15:15:06,31.7561,25.0865,58.53,55,0,6.89
188,Dickinson,US,2022-02-12 15:14:51,29.4608,-95.0513,61.03,95,75,10.36
189,Bartica,GY,2022-02-12 15:15:07,6.4,-58.6167,77.32,74,98,4.74
190,Castro,BR,2022-02-12 15:15:07,-24.7911,-50.0119,76.06,49,0,4.47
191,Erzin,TR,2022-02-12 15:15:07,36.9559,36.2,63.12,68,0,0.13
192,Butaritari,KI,2022-02-12 15:15:08,3.0707,172.7902,81.72,79,43,16.35
193,Salekhard,RU,2022-02-12 15:15:08,66.53,66.6019,-14.8,98,100,6.42
194,Kenai,US,2022-02-12 15:15:08,60.5544,-151.2583,27.14,97,100,0.0
195,Kavieng,PG,2022-02-12 15:15:08,-2.5744,150.7967,80.78,77,100,3.06
196,Ponta Do Sol,PT,2022-02-12 15:15:09,32.6667,-17.1,69.71,67,7,3.04
197,Hazorasp,UZ,2022-02-12 15:15:09,41.3194,61.0742,40.84,51,9,4.5
198,Virtsu,EE,2022-02-12 15:15:09,58.5716,23.5115,37.06,68,100,22.15
199,Marienburg,PL,2022-02-12 15:15:10,54.0359,19.0266,37.89,55,72,11.88
200,Dzhebariki-Khaya,RU,2022-02-12 15:15:10,62.2167,135.8,-37.44,100,99,1.32
201,Chernyshevskiy,RU,2022-02-12 15:15:11,63.0128,112.4714,-14.85,100,96,0.87
202,Bathsheba,BB,2022-02-12 15:15:11,13.2167,-59.5167,83.01,61,75,23.02
203,Santa Cruz,BO,2022-02-12 15:13:29,-17.8,-63.1667,78.85,69,75,21.85
204,Iracoubo,GF,2022-02-12 15:15:11,5.4802,-53.2011,79.56,83,86,12.21
205,Broome,US,2022-02-12 15:15:12,42.2506,-75.833,45.18,67,20,19.57
206,Komsomolskiy,UZ,2022-02-12 15:12:15,40.4272,71.7189,40.42,87,100,2.3
207,Walvis Bay,NA,2022-02-12 15:15:13,-22.9575,14.5053,75.13,73,17,10.36
208,Setermoen,NO,2022-02-12 15:15:13,68.861,18.3486,11.43,90,73,5.1
209,Belvedere Marittimo,IT,2022-02-12 15:15:13,39.6179,15.8617,59.11,67,100,2.71
210,Phan Thiet,VN,2022-02-12 15:12:54,10.9333,108.1,77.32,76,100,11.61
211,Clyde River,CA,2022-02-12 15:15:14,70.4692,-68.5914,-16.37,69,100,23.02
212,Mujiayingzi,CN,2022-02-12 15:15:14,42.1167,118.7833,12.85,78,99,3.87
213,Cabo San Lucas,MX,2022-02-12 15:15:14,22.8909,-109.9124,66.51,49,40,6.91
214,Codrington,AU,2022-02-12 15:15:15,-38.2667,141.9667,64.56,67,5,11.83
215,Kysyl-Syr,RU,2022-02-12 15:15:15,63.8986,122.7617,-19.88,100,100,2.21
216,Zhangjiakou,CN,2022-02-12 15:15:15,40.81,114.8794,18.93,63,31,4.23
217,Tilichiki,RU,2022-02-12 15:15:16,60.4667,166.1,-21.3,92,11,8.93
218,Nueva Gorgona,PA,2022-02-12 15:15:16,8.55,-79.8667,87.22,99,26,1.01
219,Abu Kamal,SY,2022-02-12 15:15:16,34.4506,40.9171,59.88,29,0,9.22
220,Guilin,CN,2022-02-12 15:15:17,25.2819,110.2864,42.37,92,96,5.48
221,Kodiak,US,2022-02-12 15:15:17,57.79,-152.4072,38.71,65,40,14.97
222,Le Port,RE,2022-02-12 15:15:17,-20.9373,55.2919,80.6,72,34,8.41
