City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
301,Nishihara,JP,26.1842,127.7558,65.48,94,100,8.05,overcast clouds
302,Ust-Uda,RU,54.1742,103.0304,-22.09,100,96,2.46,overcast clouds
303,Gumia,IN,23.7833,85.8167,61.36,34,0,3.29,clear sky
304,Alexandria,EG,31.2156,29.9553,58.96,63,40,6.91,scattered clouds
305,Abu Dhabi,AE,24.4667,54.3667,66.22,46,20,5.75,few clouds
306,Paris,FR,48.8534,2.3488,57.7,61,75,17.27,broken clouds
307,Cam Ranh,VN,11.9214,109.1591,76.96,83,20,4.61,few clouds
308,Berlevag,NO,70.8578,29.0864,19.4,78,100,12.08,overcast clouds
309,Cervo,ES,43.6702,-7.4101,53.19,91,96,24.23,overcast clouds
310,Yulara,AU,-25.2406,130.9889,75.04,27,0,5.75,clear sky
311,Airai,TL,-8.9266,125.4092,59.07,91,96,2.28,overcast clouds
312,Rio Grande,BR,-32.035,-52.0986,78.91,45,63,7.43,broken clouds
313,Sisimiut,GL,66.9395,-53.6735,16.16,75,100,16.17,overcast clouds
314,Monroe,US,43.1501,-77.6831,18.97,77,75,3.44,broken clouds
315,Osypenko,UA,46.9136,36.8253,31.84,62,0,5.73,clear sky
316,Diamantino,BR,-14.4086,-56.4461,81.43,78,100,2.75,light rain
317,Opuwo,NA,-18.0607,13.84,76.24,59,94,6.15,light rain
318,Jinchang,CN,38.4953,102.1739,22.48,79,89,5.7,overcast clouds
319,Buin,CL,-33.7333,-70.75,83.05,21,0,10.04,clear sky
320,Raudeberg,NO,61.9875,5.1352,41.67,93,100,5.99,light rain
321,Gobabis,NA,-22.45,18.9667,77.5,47,97,8.5,overcast clouds
322,Manadhoo,MV,5.7667,73.3833,80.6,75,99,11.27,overcast clouds
323,Talcahuano,CL,-36.7167,-73.1167,64.08,77,75,16.11,broken clouds
324,Faanui,PF,-16.4833,-151.75,81.07,73,100,14.32,overcast clouds
325,Belmonte,BR,-15.8631,-38.8828,84.7,81,90,10.13,overcast clouds
326,Aragarcas,BR,-15.8975,-52.2508,81.43,75,79,5.5,broken clouds
327,Kodiak,US,57.79,-152.4072,27.91,86,0,5.75,clear sky
328,Severo-Kurilsk,RU,50.6789,156.125,23.09,70,37,10.18,scattered clouds
329,Tubuala,PA,9.5167,-79.0333,91.33,81,66,9.57,broken clouds
330,Teya,RU,60.3778,92.6267,-12.69,98,38,3.47,scattered clouds
331,Aksu,CN,41.1231,80.2644,30.47,39,10,4.38,clear sky
332,Iqaluit,CA,63.7506,-68.5145,-20.31,75,75,3.44,broken clouds
333,Mazyr,BY,52.0495,29.2456,29.44,74,37,8.99,scattered clouds
334,Ancud,CL,-41.8697,-73.8203,84.22,73,5,7.7,clear sky
335,Urubicha,BO,-15.3833,-62.95,82.22,57,100,3.96,overcast clouds
336,Port Moresby,PG,-9.4431,147.1797,76.42,88,20,5.75,few clouds
337,Oneonta,US,42.4529,-75.0638,25.09,70,100,5.77,overcast clouds
338,Rochegda,RU,62.8,43.25,1.4,99,19,2.48,few clouds
339,Spokane,US,47.6166,-117.3677,28.89,81,0,5.75,clear sky
340,Klamath Falls,US,42.2249,-121.7817,40.87,74,0,0.0,clear sky
341,Buta,CD,2.7858,24.73,85.23,24,62,2.57,broken clouds
342,Inirida,CO,3.8653,-67.9239,94.78,39,51,3.22,broken clouds
343,Chifeng,CN,42.2683,118.9636,7.14,93,100,7.52,light snow
344,Chulym,RU,55.0997,80.9572,19.9,95,100,11.72,light snow
